passer_name,team_name,n_passes,mean_tiv,total_tiv,mean_lbs,mean_sgm,mean_sdi,final_third_prob,box_entry_prob,shot_prob,goal_prob,circulatory,destabilising,line_breaking,space_expanding,dominant_pass_type,player_label
Dylan Bronn,Tunisia,49,0.26130043867619546,12.803721495133578,0.5714285714285714,1.973532160666547,32.114017481447114,0.22448979591836735,0.0,0.04081632653061224,0.02040816326530612,0.08163265306122448,0.4897959183673469,0.14285714285714285,0.2857142857142857,destabilising,Dylan Bronn (Tunisia)
Bartosz Bereszynski,Poland,64,0.19874238019394774,12.719512332412656,0.984375,1.7355081951937612,24.95290009161936,0.0625,0.015625,0.046875,0.0,0.171875,0.390625,0.21875,0.21875,destabilising,Bartosz Bereszynski (Poland)
Bryan Oviedo,Costa Rica,45,0.2812411581312925,12.655852115908164,1.0,1.1503078397669462,34.326273479797955,0.044444444444444446,0.0,0.0,0.0,0.13333333333333333,0.4444444444444444,0.35555555555555557,0.06666666666666667,destabilising,Bryan Oviedo (Costa Rica)
Celso Borges,Costa Rica,71,0.17425999968236658,12.372459977448028,0.4647887323943662,1.6746612456640226,26.595145460307293,0.056338028169014086,0.014084507042253521,0.0,0.0,0.2112676056338028,0.39436619718309857,0.29577464788732394,0.09859154929577464,destabilising,Celso Borges (Costa Rica)
Silvan Widmer,Switzerland,83,0.1486143726417815,12.334992929267866,2.036144578313253,1.0027481557621254,25.317196862541074,0.10843373493975904,0.012048192771084338,0.0,0.0,0.27710843373493976,0.26506024096385544,0.3855421686746988,0.07228915662650602,line_breaking,Silvan Widmer (Switzerland)
Sergej Milinković-Savić,Serbia,53,0.2263600212302323,11.997081125202312,0.18867924528301888,1.8485868749612417,31.982568544596898,0.1320754716981132,0.018867924528301886,0.03773584905660377,0.018867924528301886,0.05660377358490566,0.4716981132075472,0.2641509433962264,0.20754716981132076,destabilising,Sergej Milinković-Savić (Serbia)
Virgil van Dijk,Netherlands,271,0.04391692204647895,11.901485874595796,1.1808118081180812,1.317128417876672,22.919995796209335,0.04428044280442804,0.02952029520295203,0.014760147601476014,0.0,0.44280442804428044,0.2693726937269373,0.1992619926199262,0.08856088560885608,circulatory,Virgil van Dijk (Netherlands)
Jordi Alba,Spain,238,0.04974748156230755,11.839900611829197,0.6512605042016807,1.210126603013227,27.328558815890005,0.20588235294117646,0.03361344537815126,0.046218487394957986,0.008403361344537815,0.3319327731092437,0.3277310924369748,0.23949579831932774,0.10084033613445378,circulatory,Jordi Alba (Spain)
Borna Sosa,Croatia,156,0.07531865976155487,11.74971092280256,1.3717948717948718,1.0111097443405304,22.63944230332165,0.11538461538461539,0.01282051282051282,0.00641025641025641,0.0,0.2692307692307692,0.36538461538461536,0.3269230769230769,0.038461538461538464,destabilising,Borna Sosa (Croatia)
Ko Itakura,Japan,96,0.12203006939305383,11.714886661733168,1.1979166666666667,1.453867247506756,24.402673399147716,0.125,0.010416666666666666,0.010416666666666666,0.0,0.40625,0.3020833333333333,0.1875,0.10416666666666667,circulatory,Ko Itakura (Japan)
