passer_name,receiver_name,team_name,duo_passes,duo_mean_tiv,duo_total_tiv,mean_lbs,mean_sgm,mean_sdi,final_third_prob,box_entry_prob,shot_prob,goal_prob,passer_n_passes,passer_mean_tiv,passer_total_tiv,delta_tiv,duo_label,is_stable_duo
Amadou Onana,Michy Batshuayi,Belgium,1,0.7893420606560911,0.7893420606560911,7.0,0.8121308050089242,12.626944454545535,1.0,0.0,0.0,0.0,44,-0.14375826965932026,-6.325363865010091,0.9331003303154114,Amadou Onana → Michy Batshuayi,False
Dayot Upamecano,Olivier Giroud,France,1,0.9768364026788487,0.9768364026788487,4.0,2.7496082953354968,26.230543136363675,0.0,0.0,0.0,0.0,283,0.04574332652571368,12.945361406776971,0.9310930761531351,Dayot Upamecano → Olivier Giroud,False
Eduardo Camavinga,Raphael Varane,France,1,0.5805068700465228,0.5805068700465228,0.0,4.34862778845497,14.117967863636402,0.0,0.0,0.0,0.0,72,-0.3494668478174031,-25.161613042853023,0.9299737178639259,Eduardo Camavinga → Raphael Varane,False
Kyung-won Kwon,Kang-in Lee,South Korea,1,1.2210159288115887,1.2210159288115887,4.0,1.8202822133559915,147.46103622727287,0.0,0.0,0.0,0.0,38,0.2920971704242175,11.099692476120266,0.9289187583873713,Kyung-won Kwon → Kang-in Lee,False
Saeid Ezatolahi,Sardar Azmoun,Iran,1,0.860909767281512,0.860909767281512,6.0,0.4247172527728662,50.09721750000014,1.0,0.0,0.0,0.0,48,-0.06474921917960409,-3.107962520620996,0.9256589864611161,Saeid Ezatolahi → Sardar Azmoun,False
Federico Valverde,Edinson Cavani,Uruguay,1,0.7993253855820848,0.7993253855820848,5.0,0.3395761048423751,71.18454072727297,0.0,0.0,0.0,0.0,133,-0.12619394602304637,-16.783794821065168,0.9255193316051311,Federico Valverde → Edinson Cavani,False
Lautaro Martinez,Marcos Acuña,Argentina,1,0.6306959183808873,0.6306959183808873,7.0,3.3643475180519373,0.0,0.0,0.0,0.0,0.0,33,-0.2926427765666128,-9.657211626698222,0.9233386949475002,Lautaro Martinez → Marcos Acuña,False
Ellyes Skhiri,Issam Jebali,Tunisia,4,0.9672192784102094,3.8688771136408375,5.0,0.8788082653460665,85.58588967045446,0.25,0.0,0.0,0.0,94,0.04496171455825115,4.226401168475608,0.9222575638519582,Ellyes Skhiri → Issam Jebali,False
Toby Alderweireld,Dries Mertens,Belgium,1,1.099958489757373,1.099958489757373,7.0,0.5267559360419425,76.78302772727245,0.0,0.0,0.0,0.0,220,0.17828821976823842,39.22340834901245,0.9216702699891347,Toby Alderweireld → Dries Mertens,False
Joao Mario,Cristiano Ronaldo,Portugal,1,0.854045216812512,0.854045216812512,2.0,1.4177878041847898,107.1731360909091,0.0,0.0,0.0,0.0,16,-0.06599366581481407,-1.0558986530370251,0.920038882627326,Joao Mario → Cristiano Ronaldo,False
Thomas Meunier,Eden Hazard,Belgium,2,1.1783993452547579,2.3567986905095157,6.0,1.0694862321191803,102.75000197727269,0.5,0.0,0.0,0.0,63,0.2606870549249235,16.42328446027018,0.9177122903298344,Thomas Meunier → Eden Hazard,False
Timothy Castagne,Dries Mertens,Belgium,5,1.0408613630262054,5.2043068151310266,7.0,0.7641876910421732,60.137579136363726,0.0,0.0,0.2,0.0,140,0.12641018350886443,17.69742569124102,0.9144511795173409,Timothy Castagne → Dries Mertens,False
Lautaro Martinez,Ángel Di María,Argentina,1,0.6197879717536388,0.6197879717536388,-2.0,6.119861508963162,24.332973181818193,0.0,0.0,0.0,0.0,33,-0.2926427765666128,-9.657211626698222,0.9124307483202516,Lautaro Martinez → Ángel Di María,False
Aaron Mooy,Mitchell Duke,Australia,3,0.874881053487365,2.624643160462095,6.333333333333333,0.3500317987906208,52.86577281818179,0.3333333333333333,0.0,0.0,0.0,152,-0.03531926397210004,-5.368528123759207,0.9102003174594651,Aaron Mooy → Mitchell Duke,False
Maya Yoshida,Ritsu Doan,Japan,2,0.9037986140586051,1.8075972281172101,4.5,2.0381599722376347,26.502453636363647,0.0,0.0,0.0,0.0,191,-0.00342655283102121,-0.6544715907250511,0.9072251668896263,Maya Yoshida → Ritsu Doan,False
Dani Alves,Rodrygo,Brazil,2,0.7660936093292218,1.5321872186584435,3.5,0.562512148998744,94.89162881818193,0.5,0.0,0.0,0.0,70,-0.13989406960117895,-9.792584872082527,0.9059876789304007,Dani Alves → Rodrygo,False
